Type Of House,Price,Number of rooms,Street,City,State,Zip
House for rent,900,3,1212 Transverse Ave,Pittsburgh,PA,15210
Townhouse for rent,1295,2,3992 Beechwood Blvd,Pittsburgh,PA,15217
House for rent,850,2,2606 Sarah St,Pittsburgh,PA,15203
Apartment for rent,1350,2,5517 Claybourne St APT 2,Pittsburgh,PA,15232
Townhouse for rent,1000,2,5409 1/2 Carnegie St,Pittsburgh,PA,15201
Apartment for rent,1500,2,218 S Mathilda St,Pittsburgh,PA,15224
Condo for rent,880,1,3222 Kennett Sq,Pittsburgh,PA,15213
Apartment for rent,1700,2,2328 Sidney St,Pittsburgh,PA,15203
Apartment for rent,1050,2,131 S 16th St # 3,Pittsburgh,PA,15203
House for rent,2100,4,320 Ophelia St,Pittsburgh,PA,15213
House for rent,1195,3,1543 Evanston St,Pittsburgh,PA,15204
Townhouse for rent,1800,2,4321 Summit St,Pittsburgh,PA,15201
Townhouse for rent,3300,6,18 Wellsford St 1 # 2,Pittsbugh,PA,15213
Apartment for rent,900,2,4766 Liberty Avenue # Second Floor,Pittsburgh,PA,15224
House for rent,1150,3,17 Ainsworth St,Pittsburgh,PA,15220
House for rent,1200,3,21 Mackey St,Pittsburgh,PA,15213
Apartment for rent,1250,2,518 Shady Ave APT 3,Pittsburgh,PA,15206
House for rent,1125,4,1352 Goettman St,Pittsburgh,PA,15212
House for rent,900,4,324 Moore Ave,Pittsburgh,PA,15210
House for rent,1980,4,125 S 22nd St,Pittsburgh,PA,15203
Apartment for rent,895,2,3622 California Ave,Pittsburgh,PA,15212
Apartment for rent,1295,3,Stanton Ave,Pittsburgh,PA,15206
Apartment for rent,1025,1,1922 Jane St # 1,Pittsburgh,PA,15203
Apartment for rent,850,2,3458 Fleming Ave APT 6,Pittsburgh,PA,15212
House for rent,900,2,1104 Fredonia St,Pittsburgh,PA,15220
House for rent,1295,2,4610 Carlton St,Pittsburgh,PA,15201
Apartment for rent,795,1,2201 Sarah St # 3RD,Pittsburgh,PA,15203
House for rent,1490,2,157 49th St,Pittsburgh,PA,15201
House for rent,995,3,3215 Orleans St,Pittsburgh,PA,15214
House for rent,1100,3,1200 Tennessee Ave,Pittsburgh,PA,15216
Apartment for rent,1650,2,2123 Shady Ave B11 # B11,Pittsburgh,PA,15217
Townhouse for rent,1300,2,570 Peebles St,Pittsburgh,PA,15221
House for rent,3850,7,4 Welsford St,Pittsburgh,PA,15213
Apartment for rent,1095,2,1001 E Carson St APT 5,Pittsburgh,PA,15203
House for rent,650,1,3235 Parkview Ave,Pittsburgh,PA,15213
House for rent,800,2,215 Kramer Way,Pittsburgh,PA,15211
Apartment for rent,1200,2,3211 Ward St # A,Pittsburgh,PA,15213
Apartment for rent,1200,2,3213 Ward St # A,Pittsburgh,PA,15213
Apartment for rent,795,1,1217 Oklahoma Ave # 2,Pittsburgh,PA,15216
Apartment for rent,850,1,225 Stratford Ave APT 2,Pittsburgh,PA,15206
Apartment for rent,950,1,3800 Butler St APT 1B,Pittsburgh,PA,15201
